1,1,24,25,50
2,6,2,2,10
3,8,1,19,28
4,16,2,33,51
5,10,20,13,43
6,16,19,27,62
7,17,6,0,23
8,13,12,14,39
9,8,2,34,44
10,10,10,44,64
11,23,7,7,37
12,23,24,24,71
13,6,13,35,54
14,25,13,24,62
15,4,18,10,32
16,0,14,0,14
17,16,19,34,69
18,23,13,17,53
19,23,20,18,61
20,9,13,50,72
21,5,1,0,6
22,3,21,37,61
23,4,5,33,42
24,15,0,33,48
25,1,10,17,28
26,1,24,42,67
27,22,7,8,37
28,16,24,32,72
29,1,4,40,45
30,4,9,17,30
31,21,24,26,71
32,4,16,33,53
33,8,7,0,15
34,21,7,11,39
35,22,6,22,50
36,15,8,16,39
37,1,14,26,41
38,20,15,36,71
39,4,2,27,33
40,4,10,46,60
41,12,12,28,52
42,13,19,15,47
43,13,5,27,45
44,0,8,33,41
45,25,23,28,76
46,11,24,22,57
47,12,23,3,38
48,19,17,41,77
49,7,10,31,48
50,12,2,22,36
